"TIME","GEO","NA_ITEM","PPP_CAT","Value"
"2009","European Union - 28 countries","Price level indices (EU27=100)","Actual individual consumption","99.8"
"2009","European Union - 28 countries","Price level indices (EU27=100)","Food and non-alcoholic beverages","100.0"
"2009","European Union - 28 countries","Price level indices (EU27=100)","Food","99.9"
"2009","European Union - 28 countries","Price level indices (EU27=100)","Bread and cereals","100.0"
"2009","European Union - 28 countries","Price level indices (EU15=100)","Gross domestic product","94.3"
"2009","European Union - 28 countries","Price level indices (EU15=100)","Actual individual consumption","94.0"
"2009","European Union - 28 countries","Price level indices (EU15=100)","Food and non-alcoholic beverages","94.1"
"2009","European Union - 28 countries","Price level indices (EU15=100)","Food","93.7"
"2009","European Union - 28 countries","Price level indices (EU15=100)","Bread and cereals","94.0"
"2009","European Union - 28 countries","Nominal expenditure in national currency","Gross domestic product","12,324,697"
"2009","European Union - 28 countries","Nominal expenditure in national currency","Actual individual consumption","8,699,856"
"2009","European Union - 28 countries","Nominal expenditure in national currency","Food and non-alcoholic beverages","856,511"
"2009","European Union - 28 countries","Nominal expenditure in national currency","Food","776,700"
"2009","European Union - 28 countries","Nominal expenditure in national currency","Bread and cereals","143,998"
"2009","European Union - 28 countries","Nominal expenditure as a percentage of GDP (GDP=100)","Gross domestic product","100.0"
"2009","European Union - 28 countries","Nominal expenditure as a percentage of GDP (GDP=100)","Actual individual consumption","70.6"
"2009","European Union - 28 countries","Nominal expenditure as a percentage of GDP (GDP=100)","Food and non-alcoholic beverages","6.9"
"2009","European Union - 28 countries","Nominal expenditure as a percentage of GDP (GDP=100)","Food","6.3"
"2009","European Union - 28 countries","Nominal expenditure as a percentage of GDP (GDP=100)","Bread and cereals","1.2"
"2009","European Union - 28 countries","Nominal expenditure (in euro)","Gross domestic product","12,324,697"
"2009","European Union - 28 countries","Nominal expenditure (in euro)","Actual individual consumption","8,699,856"
"2009","European Union - 28 countries","Nominal expenditure (in euro)","Food and non-alcoholic beverages","856,511"
"2009","European Union - 28 countries","Nominal expenditure (in euro)","Food","776,700"
"2009","European Union - 28 countries","Nominal expenditure (in euro)","Bread and cereals","143,998"
"2009","European Union - 28 countries","Nominal expenditure per inhabitant (in euro)","Gross domestic product","24,527"
"2009","European Union - 28 countries","Nominal expenditure per inhabitant (in euro)","Actual individual consumption","17,313"
"2009","European Union - 28 countries","Nominal expenditure per inhabitant (in euro)","Food and non-alcoholic beverages","1,704"
"2009","European Union - 28 countries","Nominal expenditure per inhabitant (in euro)","Food","1,546"
"2009","European Union - 28 countries","Nominal expenditure per inhabitant (in euro)","Bread and cereals","287"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU28)","Gross domestic product","12,324,697"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU28)","Actual individual consumption","8,699,856"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU28)","Food and non-alcoholic beverages","856,511"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU28)","Food","776,700"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU28)","Bread and cereals","143,998"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU27_2019)","Gross domestic product","12,239,869"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU27_2019)","Actual individual consumption","8,624,329"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU27_2019)","Food and non-alcoholic beverages","863,480"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU27_2019)","Food","783,365"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU27_2019)","Bread and cereals","148,275"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU27)","Gross domestic product","12,345,223"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU27)","Actual individual consumption","8,713,329"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU27)","Food and non-alcoholic beverages","856,869"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU27)","Food","777,107"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU27)","Bread and cereals","144,051"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU15)","Gross domestic product","13,064,849"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU15)","Actual individual consumption","9,254,473"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU15)","Food and non-alcoholic beverages","910,382"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU15)","Food","828,489"
"2009","European Union - 28 countries","Real expenditure (in PPS_EU15)","Bread and cereals","153,130"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU28)","Gross domestic product","24,500"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU28)","Actual individual consumption","17,300"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU28)","Food and non-alcoholic beverages","1,700"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU28)","Food","1,500"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU28)","Bread and cereals","300"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU27_2019)","Gross domestic product","24,400"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU27_2019)","Actual individual consumption","17,200"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU27_2019)","Food and non-alcoholic beverages","1,700"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU27_2019)","Food","1,600"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU27_2019)","Bread and cereals","300"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU27)","Gross domestic product","24,600"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU27)","Actual individual consumption","17,300"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU27)","Food and non-alcoholic beverages","1,700"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU27)","Food","1,500"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU27)","Bread and cereals","300"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU15)","Gross domestic product","26,000"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU15)","Actual individual consumption","18,400"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU15)","Food and non-alcoholic beverages","1,800"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU15)","Food","1,600"
"2009","European Union - 28 countries","Real expenditure per capita (in PPS_EU15)","Bread and cereals","300"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU28=100)","Gross domestic product","100"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU28=100)","Actual individual consumption","100"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU28=100)","Food and non-alcoholic beverages","100"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU28=100)","Food","100"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU28=100)","Bread and cereals","100"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU27_2019=100)","Gross domestic product","101"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU27_2019=100)","Actual individual consumption","103"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU27_2019=100)","Food and non-alcoholic beverages","98"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU27_2019=100)","Food","98"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU27_2019=100)","Bread and cereals","99"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU27=100)","Gross domestic product","100"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU27=100)","Actual individual consumption","100"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU27=100)","Food and non-alcoholic beverages","100"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU27=100)","Food","100"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU27=100)","Bread and cereals","100"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU15=100)","Gross domestic product","91"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU15=100)","Actual individual consumption","91"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU15=100)","Food and non-alcoholic beverages","96"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU15=100)","Food","96"
"2009","European Union - 28 countries","Volume indices of real expenditure per capita in PPS (EU15=100)","Bread and cereals","94"
"2009","Belgium","Purchasing power parities (EU28=1)","Gross domestic product","1.11754"
"2009","Belgium","Purchasing power parities (EU28=1)","Actual individual consumption","1.13665"
"2009","Belgium","Purchasing power parities (EU28=1)","Food and non-alcoholic beverages","1.16470"
"2009","Belgium","Purchasing power parities (EU28=1)","Food","1.16573"
"2009","Belgium","Purchasing power parities (EU28=1)","Bread and cereals","1.17619"
"2009","Belgium","Purchasing power parities (EU27_2019=1)","Gross domestic product","1.12589"
"2009","Belgium","Purchasing power parities (EU27_2019=1)","Actual individual consumption","1.15150"
"2009","Belgium","Purchasing power parities (EU27_2019=1)","Food and non-alcoholic beverages","1.15943"
"2009","Belgium","Purchasing power parities (EU27_2019=1)","Food","1.15984"
"2009","Belgium","Purchasing power parities (EU27_2019=1)","Bread and cereals","1.14697"
"2009","Belgium","Purchasing power parities (EU27=1)","Gross domestic product","1.11568"
"2009","Belgium","Purchasing power parities (EU27=1)","Actual individual consumption","1.13489"
"2009","Belgium","Purchasing power parities (EU27=1)","Food and non-alcoholic beverages","1.16421"
"2009","Belgium","Purchasing power parities (EU27=1)","Food","1.16512"
"2009","Belgium","Purchasing power parities (EU27=1)","Bread and cereals","1.17576"
"2009","Belgium","Purchasing power parities (EU15=1)","Gross domestic product","1.05423"
"2009","Belgium","Purchasing power parities (EU15=1)","Actual individual consumption","1.06853"
"2009","Belgium","Purchasing power parities (EU15=1)","Food and non-alcoholic beverages","1.09578"
"2009","Belgium","Purchasing power parities (EU15=1)","Food","1.09286"
"2009","Belgium","Purchasing power parities (EU15=1)","Bread and cereals","1.10605"
"2009","Belgium","Price level indices (EU28=100)","Gross domestic product","111.8"
"2009","Belgium","Price level indices (EU28=100)","Actual individual consumption","113.7"
"2009","Belgium","Price level indices (EU28=100)","Food and non-alcoholic beverages","116.5"
"2009","Belgium","Price level indices (EU28=100)","Food","116.6"
"2009","Belgium","Price level indices (EU28=100)","Bread and cereals","117.6"
"2009","Belgium","Price level indices (EU27_2019=100)","Gross domestic product","112.6"
"2009","Belgium","Price level indices (EU27_2019=100)","Actual individual consumption","115.2"
"2009","Belgium","Price level indices (EU27_2019=100)","Food and non-alcoholic beverages","115.9"
"2009","Belgium","Price level indices (EU27_2019=100)","Food","116.0"
"2009","Belgium","Price level indices (EU27_2019=100)","Bread and cereals","114.7"
"2009","Belgium","Price level indices (EU27=100)","Gross domestic product","111.6"
"2009","Belgium","Price level indices (EU27=100)","Actual individual consumption","113.5"
"2009","Belgium","Price level indices (EU27=100)","Food and non-alcoholic beverages","116.4"
"2009","Belgium","Price level indices (EU27=100)","Food","116.5"
"2009","Belgium","Price level indices (EU27=100)","Bread and cereals","117.6"
"2009","Belgium","Price level indices (EU15=100)","Gross domestic product","105.4"
"2009","Belgium","Price level indices (EU15=100)","Actual individual consumption","106.9"
"2009","Belgium","Price level indices (EU15=100)","Food and non-alcoholic beverages","109.6"
"2009","Belgium","Price level indices (EU15=100)","Food","109.3"
"2009","Belgium","Price level indices (EU15=100)","Bread and cereals","110.6"
"2009","Belgium","Nominal expenditure in national currency","Gross domestic product","346,473"
"2009","Belgium","Nominal expenditure in national currency","Actual individual consumption","230,521"
"2009","Belgium","Nominal expenditure in national currency","Food and non-alcoholic beverages","22,476"
"2009","Belgium","Nominal expenditure in national currency","Food","20,542"
"2009","Belgium","Nominal expenditure in national currency","Bread and cereals","4,225"
"2009","Belgium","Nominal expenditure as a percentage of GDP (GDP=100)","Gross domestic product","100.0"
"2009","Belgium","Nominal expenditure as a percentage of GDP (GDP=100)","Actual individual consumption","66.5"
"2009","Belgium","Nominal expenditure as a percentage of GDP (GDP=100)","Food and non-alcoholic beverages","6.5"
"2009","Belgium","Nominal expenditure as a percentage of GDP (GDP=100)","Food","5.9"
"2009","Belgium","Nominal expenditure as a percentage of GDP (GDP=100)","Bread and cereals","1.2"
"2009","Belgium","Nominal expenditure (in euro)","Gross domestic product","346,473"
"2009","Belgium","Nominal expenditure (in euro)","Actual individual consumption","230,521"
"2009","Belgium","Nominal expenditure (in euro)","Food and non-alcoholic beverages","22,476"
"2009","Belgium","Nominal expenditure (in euro)","Food","20,542"
"2009","Belgium","Nominal expenditure (in euro)","Bread and cereals","4,225"
"2009","Belgium","Nominal expenditure per inhabitant (in euro)","Gross domestic product","32,093"
"2009","Belgium","Nominal expenditure per inhabitant (in euro)","Actual individual consumption","21,352"
"2009","Belgium","Nominal expenditure per inhabitant (in euro)","Food and non-alcoholic beverages","2,082"
"2009","Belgium","Nominal expenditure per inhabitant (in euro)","Food","1,903"
"2009","Belgium","Nominal expenditure per inhabitant (in euro)","Bread and cereals","391"
"2009","Belgium","Real expenditure (in PPS_EU28)","Gross domestic product","310,031"
"2009","Belgium","Real expenditure (in PPS_EU28)","Actual individual consumption","202,807"
"2009","Belgium","Real expenditure (in PPS_EU28)","Food and non-alcoholic beverages","19,298"
"2009","Belgium","Real expenditure (in PPS_EU28)","Food","17,622"
"2009","Belgium","Real expenditure (in PPS_EU28)","Bread and cereals","3,592"
"2009","Belgium","Real expenditure (in PPS_EU27_2019)","Gross domestic product","309,795"
"2009","Belgium","Real expenditure (in PPS_EU27_2019)","Actual individual consumption","203,374"
"2009","Belgium","Real expenditure (in PPS_EU27_2019)","Food and non-alcoholic beverages","19,697"
"2009","Belgium","Real expenditure (in PPS_EU27_2019)","Food","17,995"
"2009","Belgium","Real expenditure (in PPS_EU27_2019)","Bread and cereals","3,742"
"2009","Belgium","Real expenditure (in PPS_EU27)","Gross domestic product","310,548"
"2009","Belgium","Real expenditure (in PPS_EU27)","Actual individual consumption","203,121"
"2009","Belgium","Real expenditure (in PPS_EU27)","Food and non-alcoholic beverages","19,306"
"2009","Belgium","Real expenditure (in PPS_EU27)","Food","17,631"
"2009","Belgium","Real expenditure (in PPS_EU27)","Bread and cereals","3,593"
"2009","Belgium","Real expenditure (in PPS_EU15)","Gross domestic product","328,650"
"2009","Belgium","Real expenditure (in PPS_EU15)","Actual individual consumption","215,736"
"2009","Belgium","Real expenditure (in PPS_EU15)","Food and non-alcoholic beverages","20,512"
"2009","Belgium","Real expenditure (in PPS_EU15)","Food","18,797"
"2009","Belgium","Real expenditure (in PPS_EU15)","Bread and cereals","3,820"
"2009","Belgium","Real expenditure per capita (in PPS_EU28)","Gross domestic product","28,700"
"2009","Belgium","Real expenditure per capita (in PPS_EU28)","Actual individual consumption","18,800"
"2009","Belgium","Real expenditure per capita (in PPS_EU28)","Food and non-alcoholic beverages","1,800"
"2009","Belgium","Real expenditure per capita (in PPS_EU28)","Food","1,600"
"2009","Belgium","Real expenditure per capita (in PPS_EU28)","Bread and cereals","300"
"2009","Belgium","Real expenditure per capita (in PPS_EU27_2019)","Gross domestic product","28,700"
"2009","Belgium","Real expenditure per capita (in PPS_EU27_2019)","Actual individual consumption","18,800"
"2009","Belgium","Real expenditure per capita (in PPS_EU27_2019)","Food and non-alcoholic beverages","1,800"
"2009","Belgium","Real expenditure per capita (in PPS_EU27_2019)","Food","1,700"
"2009","Belgium","Real expenditure per capita (in PPS_EU27_2019)","Bread and cereals","300"
"2009","Belgium","Real expenditure per capita (in PPS_EU27)","Gross domestic product","28,800"
"2009","Belgium","Real expenditure per capita (in PPS_EU27)","Actual individual consumption","18,800"
"2009","Belgium","Real expenditure per capita (in PPS_EU27)","Food and non-alcoholic beverages","1,800"
"2009","Belgium","Real expenditure per capita (in PPS_EU27)","Food","1,600"
"2009","Belgium","Real expenditure per capita (in PPS_EU27)","Bread and cereals","300"
"2009","Belgium","Real expenditure per capita (in PPS_EU15)","Gross domestic product","30,400"
"2009","Belgium","Real expenditure per capita (in PPS_EU15)","Actual individual consumption","20,000"
"2009","Belgium","Real expenditure per capita (in PPS_EU15)","Food and non-alcoholic beverages","1,900"
"2009","Belgium","Real expenditure per capita (in PPS_EU15)","Food","1,700"
"2009","Belgium","Real expenditure per capita (in PPS_EU15)","Bread and cereals","400"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU28=100)","Gross domestic product","117"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU28=100)","Actual individual consumption","109"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU28=100)","Food and non-alcoholic beverages","105"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU28=100)","Food","106"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU28=100)","Bread and cereals","116"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU27_2019=100)","Gross domestic product","119"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU27_2019=100)","Actual individual consumption","113"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU27_2019=100)","Food and non-alcoholic beverages","105"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU27_2019=100)","Food","105"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU27_2019=100)","Bread and cereals","116"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU27=100)","Gross domestic product","117"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU27=100)","Actual individual consumption","108"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU27=100)","Food and non-alcoholic beverages","105"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU27=100)","Food","105"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU27=100)","Bread and cereals","116"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU15=100)","Gross domestic product","106"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU15=100)","Actual individual consumption","98"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU15=100)","Food and non-alcoholic beverages","100"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU15=100)","Food","101"
"2009","Belgium","Volume indices of real expenditure per capita in PPS (EU15=100)","Bread and cereals","109"
"2009","Bulgaria","Purchasing power parities (EU28=1)","Gross domestic product","0.911268"
"2009","Bulgaria","Purchasing power parities (EU28=1)","Actual individual consumption","0.920758"
"2009","Bulgaria","Purchasing power parities (EU28=1)","Food and non-alcoholic beverages","1.33071"
"2009","Bulgaria","Purchasing power parities (EU28=1)","Food","1.30795"
"2009","Bulgaria","Purchasing power parities (EU28=1)","Bread and cereals","1.02260"
"2009","Bulgaria","Purchasing power parities (EU27_2019=1)","Gross domestic product","0.918077"
"2009","Bulgaria","Purchasing power parities (EU27_2019=1)","Actual individual consumption","0.932789"
"2009","Bulgaria","Purchasing power parities (EU27_2019=1)","Food and non-alcoholic beverages","1.32469"
"2009","Bulgaria","Purchasing power parities (EU27_2019=1)","Food","1.30133"
"2009","Bulgaria","Purchasing power parities (EU27_2019=1)","Bread and cereals","0.997192"
"2009","Bulgaria","Purchasing power parities (EU27=1)","Gross domestic product","0.909753"
"2009","Bulgaria","Purchasing power parities (EU27=1)","Actual individual consumption","0.919335"
"2009","Bulgaria","Purchasing power parities (EU27=1)","Food and non-alcoholic beverages","1.33015"
"2009","Bulgaria","Purchasing power parities (EU27=1)","Food","1.30726"
"2009","Bulgaria","Purchasing power parities (EU27=1)","Bread and cereals","1.02222"
"2009","Bulgaria","Purchasing power parities (EU15=1)","Gross domestic product","0.859643"
"2009","Bulgaria","Purchasing power parities (EU15=1)","Actual individual consumption","0.865578"
"2009","Bulgaria","Purchasing power parities (EU15=1)","Food and non-alcoholic beverages","1.25196"
"2009","Bulgaria","Purchasing power parities (EU15=1)","Food","1.22618"
"2009","Bulgaria","Purchasing power parities (EU15=1)","Bread and cereals","0.961614"
"2009","Bulgaria","Price level indices (EU28=100)","Gross domestic product","46.6"
"2009","Bulgaria","Price level indices (EU28=100)","Actual individual consumption","47.1"
"2009","Bulgaria","Price level indices (EU28=100)","Food and non-alcoholic beverages","68.0"
"2009","Bulgaria","Price level indices (EU28=100)","Food","66.9"
"2009","Bulgaria","Price level indices (EU28=100)","Bread and cereals","52.3"
"2009","Bulgaria","Price level indices (EU27_2019=100)","Gross domestic product","46.9"
"2009","Bulgaria","Price level indices (EU27_2019=100)","Actual individual consumption","47.7"
"2009","Bulgaria","Price level indices (EU27_2019=100)","Food and non-alcoholic beverages","67.7"
"2009","Bulgaria","Price level indices (EU27_2019=100)","Food","66.5"
"2009","Bulgaria","Price level indices (EU27_2019=100)","Bread and cereals","51.0"
"2009","Bulgaria","Price level indices (EU27=100)","Gross domestic product","46.5"
"2009","Bulgaria","Price level indices (EU27=100)","Actual individual consumption","47.0"
"2009","Bulgaria","Price level indices (EU27=100)","Food and non-alcoholic beverages","68.0"
"2009","Bulgaria","Price level indices (EU27=100)","Food","66.8"
"2009","Bulgaria","Price level indices (EU27=100)","Bread and cereals","52.3"
"2009","Bulgaria","Price level indices (EU15=100)","Gross domestic product","44.0"
"2009","Bulgaria","Price level indices (EU15=100)","Actual individual consumption","44.3"
"2009","Bulgaria","Price level indices (EU15=100)","Food and non-alcoholic beverages","64.0"
"2009","Bulgaria","Price level indices (EU15=100)","Food","62.7"
"2009","Bulgaria","Price level indices (EU15=100)","Bread and cereals","49.2"
"2009","Bulgaria","Nominal expenditure in national currency","Gross domestic product","73,147"
"2009","Bulgaria","Nominal expenditure in national currency","Actual individual consumption","51,997"
"2009","Bulgaria","Nominal expenditure in national currency","Food and non-alcoholic beverages","8,541"
"2009","Bulgaria","Nominal expenditure in national currency","Food","7,309"
"2009","Bulgaria","Nominal expenditure in national currency","Bread and cereals","1,230"
"2009","Bulgaria","Nominal expenditure as a percentage of GDP (GDP=100)","Gross domestic product","100.0"
"2009","Bulgaria","Nominal expenditure as a percentage of GDP (GDP=100)","Actual individual consumption","71.1"
"2009","Bulgaria","Nominal expenditure as a percentage of GDP (GDP=100)","Food and non-alcoholic beverages","11.7"
"2009","Bulgaria","Nominal expenditure as a percentage of GDP (GDP=100)","Food","10.0"
"2009","Bulgaria","Nominal expenditure as a percentage of GDP (GDP=100)","Bread and cereals","1.7"
"2009","Bulgaria","Nominal expenditure (in euro)","Gross domestic product","37,400"
"2009","Bulgaria","Nominal expenditure (in euro)","Actual individual consumption","26,586"
"2009","Bulgaria","Nominal expenditure (in euro)","Food and non-alcoholic beverages","4,367"
"2009","Bulgaria","Nominal expenditure (in euro)","Food","3,737"
"2009","Bulgaria","Nominal expenditure (in euro)","Bread and cereals","629"
"2009","Bulgaria","Nominal expenditure per inhabitant (in euro)","Gross domestic product","4,931"
"2009","Bulgaria","Nominal expenditure per inhabitant (in euro)","Actual individual consumption","3,505"
"2009","Bulgaria","Nominal expenditure per inhabitant (in euro)","Food and non-alcoholic beverages","576"
"2009","Bulgaria","Nominal expenditure per inhabitant (in euro)","Food","493"
"2009","Bulgaria","Nominal expenditure per inhabitant (in euro)","Bread and cereals","83"
"2009","Bulgaria","Real expenditure (in PPS_EU28)","Gross domestic product","80,270"
"2009","Bulgaria","Real expenditure (in PPS_EU28)","Actual individual consumption","56,471"
"2009","Bulgaria","Real expenditure (in PPS_EU28)","Food and non-alcoholic beverages","6,419"
"2009","Bulgaria","Real expenditure (in PPS_EU28)","Food","5,588"
"2009","Bulgaria","Real expenditure (in PPS_EU28)","Bread and cereals","1,203"
"2009","Bulgaria","Real expenditure (in PPS_EU27_2019)","Gross domestic product","79,502"
"2009","Bulgaria","Real expenditure (in PPS_EU27_2019)","Actual individual consumption","55,655"
"2009","Bulgaria","Real expenditure (in PPS_EU27_2019)","Food and non-alcoholic beverages","6,438"
"2009","Bulgaria","Real expenditure (in PPS_EU27_2019)","Food","5,609"
"2009","Bulgaria","Real expenditure (in PPS_EU27_2019)","Bread and cereals","1,231"
"2009","Bulgaria","Real expenditure (in PPS_EU27)","Gross domestic product","80,403"
"2009","Bulgaria","Real expenditure (in PPS_EU27)","Actual individual consumption","56,559"
"2009","Bulgaria","Real expenditure (in PPS_EU27)","Food and non-alcoholic beverages","6,421"
"2009","Bulgaria","Real expenditure (in PPS_EU27)","Food","5,591"
"2009","Bulgaria","Real expenditure (in PPS_EU27)","Bread and cereals","1,203"
"2009","Bulgaria","Real expenditure (in PPS_EU15)","Gross domestic product","85,090"
"2009","Bulgaria","Real expenditure (in PPS_EU15)","Actual individual consumption","60,072"
"2009","Bulgaria","Real expenditure (in PPS_EU15)","Food and non-alcoholic beverages","6,822"
"2009","Bulgaria","Real expenditure (in PPS_EU15)","Food","5,961"
"2009","Bulgaria","Real expenditure (in PPS_EU15)","Bread and cereals","1,279"
"2009","Bulgaria","Real expenditure per capita (in PPS_EU28)","Gross domestic product","10,600"
"2009","Bulgaria","Real expenditure per capita (in PPS_EU28)","Actual individual consumption","7,400"
"2009","Bulgaria","Real expenditure per capita (in PPS_EU28)","Food and non-alcoholic beverages","800"
