Page ID,Page Name,Disclaimer,Amount Spent (SEK),Number of Ads in Library
236221570038,BRIS: Barnens Rätt I Samhället,BRIS: Barnens Rätt I Samhället,1004091,56
98623096089,Lantmännen - Vi tar ansvar från jord till bord,Lantmännen - Vi tar ansvar från jord till bord,1004078,47
212049035488183,The Hunger Project Sverige,The Hunger Project Sverige,987137,155
45101268520,SSU,SSU,986147,782
356032977210,Vi-skogen,Vi-skogen,942315,283
150057951690751,OKQ8,OKQ8,900858,103
34780126150,Miljöpartiet de gröna,Miljöpartiet de gröna,863367,75
279974638809211,Oxfam Sverige,Oxfam Sverige,855191,254
1409496505838142,Doktor.se,These ads ran without a disclaimer,846467,3
379686162129542,Svea Ekonomi,Svea Ekonomi,836535,210
104760926229060,Uppsala kommun,Uppsala kommun,799564,877
1737852076287450,Valmyndigheten,Valmyndigheten,797335,120
161213770567846,Operation Smile Sverige,Operation Smile Sverige,771038,1637
17775970938,Cancerfonden,Cancerfonden,753098,1451
24574889995,Charlie Weimers MEP,Charlie Weimers,750896,281
108184264291841,Frankful,Frankful,741793,19
232873963389824,Göteborg Energi,OMD Sweden,732949,51
118736418170998,Arbetsförmedlingen,Arbetsförmedlingen,732600,10
91818886532,We Effect,We Effect,704035,149
175656912484553,Unionen,Unionen,702867,370
608975645850217,Vattenfall Sverige,These ads ran without a disclaimer,700237,168
294378704099,FELIX,FELIX,673843,19
109886133732943,RESCUE - Sverige,RESCUE – Sverige,664728,550
191359334218856,Internetstiftelsen,Internetstiftelsen,637276,202
115198178364,Kristdemokraterna,Kristdemokraterna,635580,492
110723197258182,Sverige inför verkligheten,Tankesmedjan Tiden,617968,402
1797724450537743,GoClimate,Go Climate Neutral,573793,170
153270724787,Amnesty International Sverige,Amnesty International Sverige,570824,404
237187386324119,Frälsningsarmén,Frälsningsarmén,567233,130
643137272398136,Sverige för UNHCR,Viva Media,565398,226
1177015185803869,Textilsmart,Naturvårdsverket,521665,87
602053453278014,NIBE,NIBE,506072,14
108492218918,IF Metall,IF Metall,492224,381
291973617241,Ben & Jerry's,Ben & Jerry's,488782,42
371791194529,Världsnaturfonden WWF,These ads ran without a disclaimer,485671,32
166859653342254,Roks - mot mäns våld mot kvinnor,Roks - mot mäns våld mot kvinnor,473257,148
133536819999319,SOS Barnbyar,SOS Barnbyar,465009,136
214856611410,Svenska Postkodlotteriet,Svenska Postkodlotteriet,463703,146
176407156115,OLW,OLW,454406,8
202436601104,Transportstyrelsen,Transportstyrelsen,450000,5
935167936599501,CSN,CSN,445402,470
128452220525979,CIVIL RIGHTS DEFENDERS,CIVIL RIGHTS DEFENDERS,439686,215
126840196572,Kia Motors Sweden,Kia Motors Sweden,424312,207
368972829945550,AP7 Statens premiepensionsfonder,AP7 Statens pensionsfonder,410131,85
412192732132640,ECPAT Sverige,ECPAT Sverige,405696,669
116032393137834,Jessica Stegrud MEP,Jessica J Stegrud,399802,76
171884817870,Lärarförbundet,Lärarförbundet,389398,830
133910158381,Saco,Saco,386327,282
107898832590939,European Commission,European Commission,384337,257
132266740623,Liberalerna,Liberalerna,383616,237
188821514474911,Preem,Preem,380418,29
155824787799,EU-kommissionen i Sverige,EU-kommissionen i Sverige,377362,134
208619589270223,Nextory,These ads ran without a disclaimer,363164,14
178362315106,European Parliament,These ads ran without a disclaimer,353291,25
2194546487442221,Neste,Neste,352972,312
131257053599743,AMF,AMF,350000,4
399863096781774,Mind,Mind,349500,186
314283591054,Byggnads,Byggnads,349179,224
104424181445833,Hela Sverige mot Hungerpandemin,We Effect,347066,59
111912817167925,Samtidigt i Sverige,Aktuellt i Politiken,345180,135
163820136238,LO Sverige,LO Sverige,343080,132
105235179512713,WW ViktVäktarna,WW ViktVäktarna,335567,105
717523045086468,Johanna Jaara Åstrand,Lärarförbundet,334058,232
175843834306,WaterAid Sverige,WaterAid Sverige,332673,791
119962554717759,Skåne Stadsmission,Skåne Stadsmission,330761,163
72832167834,Skattebetalarnas Förening,Skattebetalarnas Förening,319344,528
167036616661188,Sverigedemokraterna Malmö,Sverigedemokraterna Malmö,317599,173
188616781161573,World Animal Protection Sverige,World Animal Protection Sverige,314695,121
225975657531513,Moderaterna i Södertälje kommun,Lukas Patrik Hållkvist,312336,149
211654172200965,Pantamera,Pantamera,312196,35
101031531768338,Mer än ett leende,Operation Smile Sverige,311651,195
182933185135,Skogsindustrierna,Skogsindustrierna,310267,139
178945208783463,Willys,Willys,298259,14
712230305617939,Uniper i Sverige,Uniper i Sverige,296234,301
554520268281045,Doconomy,Doconomy,283563,385
359717099551,Audi Sverige,These ads ran without a disclaimer,281130,8
1545369075688158,Brottsofferjouren Sverige,Projekt Swevic,278499,10
276108117859,Svenska Afghanistankommittén,Svenska Afghanistankommittén,268641,78
369337099772743,Skanska Sverige,Skanska Sverige,268389,345
323156205347,Vänsterpartiet,Vänsterpartiet,268175,370
2048371868720619,Cell Solar Nordic AB,Filip Waak,268082,213
261455205686,LRF,LRF,262414,328
130666626950917,Öresundskraft,Öresundskraft,259343,60
234172635050,Forum för levande historia,Forum för levande historia,244874,259
116155191929039,Gårdssällskapet,Gårdssällskapet,243856,181
249195615122371,Sara Skyttedal,Sara Skyttedal,242894,98
153028052500,Kvinna till Kvinna,Kvinna till Kvinna,241899,566
113710601984970,Barnfonden,Barnfonden,240265,88
139767876088719,Skandia,Skandia,238648,109
176875999028086,Kristdemokraterna Stockholm,Kristdemokraterna Stockholm,223103,501
293679875824,Svenska FN-förbundet,Svenska FN-förbundet,221951,169
496067290759872,LRF Jag bryr mig,LRF Jag bryr mig,221883,55
56002955332,Jörgen Warborn,Moderaterna,221180,129
829011830554926,Premium Lifestyle Club,Jonas Eriksson,219185,131
293678655099,Europaparlamentets kontor i Sverige,Europaparlamentets kontor i Sverige,218835,197
110813562940,Vision,Vision,218014,103
19746853632,Djurens Rätt,Djurens Rätt,217301,118
107661276615407,Enkla Kassen,Enkla Kassen,214494,88
1757191391203190,Proethos fond,Proethos AB,205055,225
361313524734299,Alivia,Alivia,204457,226
334318366655425,Facebook,Facebook,204352,5
113884160154171,Too Good To Go,These ads ran without a disclaimer,201009,19
329885883718979,Stefan Löfven,Socialdemokraterna,200849,5
117056501654820,Socialdemokraterna i Stockholm,Socialdemokraterna i Stockholm,200530,59
104868656264137,Quorn,These ads ran without a disclaimer,200041,24
232873963389824,Göteborg Energi,These ads ran without a disclaimer,198915,41
126245644082634,Malmömoderaterna,Malmömoderaterna,197948,338
212049035488183,The Hunger Project Sverige,Hungerprojektet,196199,53
479236215426943,Sverigedemokraterna Uppland,Sverigedemokraterna Uppland,196152,146
133681391993,Socialdemokraterna i Göteborg,Socialdemokraterna i Göteborg,196009,172
177342259513521,Otovo Solar,These ads ran without a disclaimer,190891,317
614939535271869,Tobias Baudin,Kommunal,189431,185
280313835329493,Officersförbundet,Officersförbundet,189233,29
113006852188985,IM Individuell Människohjälp,IM Individuell Människohjälp,188396,96
270592853332987,Alternativ för Sverige,Alternativ för Sverige,188264,52
152343168813435,Informationscentrum för hållbart byggande,Informationscentrum för hållbart byggande,186316,281
135535579842556,Läkarförbundet,Läkarförbundet,185373,85
148926808494478,Synsam,Synsam Sverige,180197,23
280875784474,Löfbergs,Löfbergs,180197,46
150057951690751,OKQ8,These ads ran without a disclaimer,178676,21
466722986850260,Kolla Byggtjänst,Svensk Byggtjänst,178055,363
171919835807,TCO,TCO,175679,272
151450234896857,Barndiabetesfonden,Barndiabetesfonden,174900,357
1133304143374162,Tullverket,KSMG,173467,38
184529224341,Mölndal Energi,Mölndal Energi,172149,122
601924389861969,Svea Solar Sverige,These ads ran without a disclaimer,168137,3
273053169937029,ClimateHero,ClimateHero,166491,19
1591202340989596,Bygg Klimatsmart,Informationscentrum för hållbart byggande,166000,207
141366725876424,European Greens,European Greens,164272,13
194584990588253,Vattenfall,Vattenfall Sverige,163333,27
157164123601,Trafikverket,Trafikverket,162479,46
118943054880945,Annie Lööf,Centerpartiet,161753,77
19746853632,Djurens Rätt,These ads ran without a disclaimer,160288,8
59324455950,UNICEF Sverige,These ads ran without a disclaimer,159320,47
496067290759872,LRF Jag bryr mig,These ads ran without a disclaimer,159284,1
116898726366043,Skatteverket - Företag,Skatteverket - Företag,158678,36
273053169937029,ClimateHero,ClimateHero AB,157632,23
799634660143537,Arbetsmarknadsnytt,Arbetsmarknadsnytt,156828,363
15223945415,Svenska kyrkan,Svenska kyrkan,154577,45
239855722130,Nyhetsmagasinet Fokus,These ads ran without a disclaimer,153063,380
176407156115,OLW,These ads ran without a disclaimer,153033,3
110605492300,RFSL,RFSL,150604,54
661702230515862,Ebba Busch,Kristdemokraterna,149945,99
399044617221,Läraren,Lärarnas tidning,148506,45
1047016558650888,Yrkesdörren,ÖppnaDörren,146849,61
317719998244926,Mat.se,Mat.se,143695,44
255497147555,Outnorth,Outnorth,143346,8
1649460475294700,Sverigedemokraterna Uppsala,SD Uppsala,142726,289
191293334563233,Clio,Clio,142233,110
1419307421424959,Demokraterna,Demokraterna,142136,35
229936971031161,S i världen- En rättvis värld är möjlig,Socialdemokraterna,140000,5
107898832590939,European Commission,These ads ran without a disclaimer,138433,14
119647334855044,Telinet Energi Sverige,Telinet,138104,235
207890945895422,Jordens Vänner / Friends of the Earth Sweden,Jordens Vänner / Friends of the Earth Sweden,136770,119
267640803634611,Moderaterna i Västerbotten,Moderaterna i Västerbotten,135206,188
1729304067391998,Sverigedemokraterna Region Stockholm,SD Stockholm,133565,320
103915918247717,Bulletin,Bulletin,133290,201
682180208473039,Liberalerna Stockholm,Liberalerna Stockholm,132944,170
442263832573462,MittJobb,MittJobb,131932,89
2337692372925538,Reformisterna,Reformisterna,129410,130
119450207545,Almega,Almega AB,128875,108
153985509353,Holmgrens Bil,Holmgrens Bil,128770,36
216311481960,Bill Gates,These ads ran without a disclaimer,127968,10
186221904743410,Bliwa,Bliwa,125802,180
299065246064,"Seko, Service- och kommunikationsfacket","Seko, Service- och kommunikationsfacket",125377,196
112513375470294,Feministiskt initiativ,Feministiskt initiativ,124906,38
1884410665176817,Frösunda Personlig Assistans,Quist Martin Wetiono,122901,11
195379633820701,Svenskt Kött,Mårten Rolf Mårre Skånman,122554,249
100650935646,Skiftet,Skiftet,121855,320
1509050235995572,Said till Europaparlamentet,Liberalernas riksorganisation,121693,49
140417992681511,Clowner utan Gränser,Clowner utan Gränser,121513,99
255288010153,Sida - Styrelsen för Internationellt Utvecklingssamarbete,Sida - Styrelsen för Internationellt Utvecklingssamarbete,120210,422
182933185135,Skogsindustrierna,Skogsindustrierna,120011,59
133148933394485,Socialdemokraterna i Malmö,Socialdemokraterna i Malmö,118537,148
122769781081764,Vy Flygbussarna,These ads ran without a disclaimer,118431,32
952158124988143,Pinky Pine,These ads ran without a disclaimer,117090,4
365318283559965,Spotify,Spotify,116377,5
115403725210334,Hand in Hand Sweden,Hand in Hand Sweden,115741,128
710383215713602,Special Nest,Special Nest,115026,204
347852331958080,En Företagares Vardag,Eriksson Mats Ove,114942,300
219410318157271,Läkarmissionen,Läkarmissionen,114334,32
124807114213780,Sveriges Ingenjörer,Sveriges Ingenjörer,114123,49
101046821819253,Planethjältar,WWF,110387,116
112225970344,Räddningsmissionen,Räddningsmissionen,110137,119
473986345974754,Njutafilms & Studio S (Bio),Njutafilms & Studio S (Bio),108623,43
237813956289260,Maskrosbarn,Maskrosbarn,108449,99
153386171353294,LRF Västra Sverige,LRF Västra Sverige,107650,145
413815351963135,Life-time.se,Kent Göran Björkquist,106888,54
1346402725428641,Eco Fashion By Wilma,Wilma of Sweden AB,106328,113
172441106275050,KPA Pension,These ads ran without a disclaimer,105821,5
160989331158715,klimatkompensera.se,klimatkompensera.se,105701,164
970101589721702,Josefin Malmqvist,Malmqvist Amanda Josefin Theresia,105034,217
133867976608,Naturskyddsföreningen,Naturskyddsföreningen,104749,95
988106004636766,SAVR,These ads ran without a disclaimer,103628,7
1829725353928210,Tomas Tobé,Moderaterna,103585,170
118090278221826,Erikshjälpen,Erikshjälpen,102020,237
208751565805849,Stiftelsen Expo,Stiftelsen Expo,100253,130
502186816505247,Mercy Ships Sverige,Mercy Ships Sverige,99621,290
527285890746888,Sverigedemokraterna Västmanland,Karl Edman,99564,22
142635305886763,IKEM Innovations- och kemiindustrierna i Sverige,Johan Erik Kinnman,99058,37
101376125280259,Sträck ut en hand,Läkarmissionen,98992,97
1557508081238895,Dagens Samhälle Jobb & Karriär,Dagens Samhälle,98466,104
124406344329453,Hyundai Sverige,These ads ran without a disclaimer,97806,15
61602439009,NCC,NCC,96624,40
994177054102488,Klimatlätt,Salgado,94270,203
182595121869724,Sverigedemokraterna Stockholms stad,Sverigedemokraterna Stockholms stad,93151,163
109724707089757,Barndom utan baksmälla,Barndom utan baksmälla,92303,110
161302754576832,Magnus Thulin,Thulin Magnus Nils Oscar,91739,248
100759046999,HSB,HSB,91458,24
22561206841,MAX Burgers,Max Burgers,91358,10
161091412206,Friluftsfrämjandet,Friluftsfrämjandet,91094,150
264875033604598,Extra Tuggummi,Alexandra Casquilho,90814,65
640780126093378,Norstedts Juridik,Norstedts Juridik,90719,223
295727652090,Moderaterna i Västra Götaland,Moderaterna i Västra Götaland,90705,56
294275997335715,Advania Sverige,Advania Sverige,90542,44
197903515345,Institute for Security & Development Policy (ISDP),ISDP,90271,44
120633071295935,Fairtrade Sverige,Fairtrade Sverige,89845,124
368972829945550,AP7 Statens premiepensionsfonder,AP7,89129,64
175873745789190,Vänsterpartiet Göteborg,Vänsterpartiet Göteborg,88847,40
115317275164993,RFSU,RFSU,87879,137
106117859442264,Chilly's Bottles,These ads ran without a disclaimer,87599,16
369122343101775,e.on,These ads ran without a disclaimer,87381,26
424831340887725,Dalakraft,Dalakraft,86627,42
62185934430,Olof Palme International Center,Olof Palme International Center,86397,312
120477444659925,Svensk Handel,Svensk Handel,86170,306
112243630493418,Speedy Spel,These ads ran without a disclaimer,86084,1
135251863288,Polisförbundet,Polisförbundet,85879,87
273644476088862,Fiat,FCA Sweden,85744,1
80386149597,ABF,ABF,84981,66
286340975339038,Tillbaka till livet,These ads ran without a disclaimer,84915,33
212604496324,Fackförbundet ST,Fackförbundet ST,84853,53
155535611147164,GS,GS-facket,84008,53
1379292059067347,Länsstyrelsen Östergötland,Länsstyrelsen Östergötland,84002,56
408171019221426,Slöseriombudsmannen,Skattebetalarna,82796,408
152085291138,Aktuellt i Politiken,Aktuellt i Politiken,82118,107
114736451897793,Socialdemokraterna i Södertälje,Socialdemokraterna i Södertälje,81599,65
712230305617939,Uniper i Sverige,Uniper,81558,62
110793008936879,Centerpartiets Ungdomsförbund,Centerpartiets Ungdomsförbund,81550,67
767749640051136,Heléne Fritzon,Socialdemokraterna,80145,59
296423575695,Afrikagrupperna,Afrikagrupperna,79765,145
159701814199732,Business Sweden,Business Sweden,79619,189
163305633746125,Karneval förlag,Holviks,77726,82
389223741094370,Karin Wanngård,Socialdemokraterna i Stockholm,77154,62
476930319155435,Orthex,Orthex,76310,88
109067724119285,hyllningsklader.se,Frankieboy,75941,79
161513867384504,Giving People,Giving People,75843,197
195379633820701,Svenskt Kött,Svenskt Kött,75575,60
183257281869053,Nestlé,Nestlé,75413,8
102331493143871,Sveriges Radio P1,These ads ran without a disclaimer,75327,7
277541019375317,Jämställdhetsmyndigheten,Jämställdhetsmyndigheten,74856,37
107081822705414,Småföretagarnas Riksförbund,Småföretagarnas Riksförbund,73755,37
273053169937029,ClimateHero,These ads ran without a disclaimer,73453,6
2267149969982018,Välj att sluta,These ads ran without a disclaimer,73416,324
37267060518,Världens Barn,Världens Barn,73280,32
770859709613264,PwC Sverige,PwC Sverige,72817,6
1545369075688158,Brottsofferjouren Sverige,Brottsofferjouren Sverige,72542,42
209420749086971,Samhall,Samhall AB,71612,153
124892400864698,Företagarna,Företagarna,71095,68
1928591733901079,Brf-mappen,These ads ran without a disclaimer,70800,46
602053453278014,NIBE,Carla Lind Andersson,70743,10
174975703060811,Alice Bah Kuhnke,Miljöpartiet i Europaparlamentet,70333,67
608975645850217,Vattenfall Sverige,Vattenfall Group,70244,18
951217261634608,Naturvårdsverket,Naturvårdsverket,69200,130
101866174876994,Fresh.Land.Sverige,These ads ran without a disclaimer,68722,8
172455246970,Sweco,Sweco,68356,75
155824787799,EU-kommissionen i Sverige,These ads ran without a disclaimer,67691,7
175409944016081,Min hållbara karriär,Naturvetarna,67654,20
1042091032500520,Kvartal,Kvartal,66871,40
109098320518639,Dogoodel.,Veeradeth Thamhaksa,66866,58
841675695959993,Energiföretagen Sverige,Energiföretagen Sverige,66546,87
393959767360779,Sverigedemokraterna Region Skåne,Sverigedemokraterna Skåne,66284,26
175656912484553,Unionen,These ads ran without a disclaimer,66080,22
114411691995670,Moderatkvinnorna,Moderatkvinnorna,66055,129
404799406383484,myNanny,These ads ran without a disclaimer,66011,16
178392422290780,Gratis i skolan,Kunskapskraft & Media Sweden AB (KKM),65947,112
382243262003,Plan International Sverige,These ads ran without a disclaimer,65926,85
1532024840379422,Rättvisa bilskatter,Martin Eriksson,65414,4
455521331205717,Arvsfonden,Arvsfonden,64756,166
890960820927795,Närhälsan,Närhälsan,64642,18
890888971075662,Stockholm Exergi AB,Stockholm Exergi,64450,2
76677247875,Wikimedia Sverige,Wikimedia Sverige,64000,8
508303959269502,Svenska Kyl & Värmepumpföreningen,Cecilia Branting,63962,397
144955505526463,Moderaterna i Södermanland,Moderaterna,63770,31
263335257048218,NMT THINK PINK,These ads ran without a disclaimer,63733,6
325867968114416,Pär Holmgren,Miljöpartiet i Europaparlamentet,63113,66
996264337099052,Arabiska Teatern / أرابيسكا تياترن,Arabiska Teatern / أرابيسكا تياترن,62928,38
414884688611657,IVECO,These ads ran without a disclaimer,62746,28
304506059702034,Tidningen Fönstret,Tidningen Fönstret,62575,71
366598357326886,Mean deposition,These ads ran without a disclaimer,62538,1
1616562981695494,Barnsmart,These ads ran without a disclaimer,62500,2
189699774387238,"Andreas Sturesson, kommunalråd",Kristdemokraterna Jönköpings Kommun,62087,118
115101541907729,Värmdömoderaterna,Schill Markus William,61835,103
965960173534121,Irene Svenonius,Ellen Nilsson,61200,62
252516142116820,Abir Al-Sahlani,Nyberg Claes Otto,61115,85
209819466173690,Region Stockholm,Region Stockholm,60785,114
473590032845127,Tankesmedjan Futurion,Futurion,60733,53
138739162831736,ABB,ABB,60492,191
110038103985174,Inspektionen för vård och omsorg,"IVO, Inspektionen för vård och omsorg",60377,6
312916959122730,Bostadspolitik.se,Kristina Gill,60270,162
636103536446815,Johan Danielsson,LO Sverige,60203,7
118162038224731,Moderaterna i Stockholms stad och län,Moderaterna i Stockholms stad och län,59914,95
28237261288,IOGT-NTO,IOGT-NTO,59857,35
121702404531696,Islamic Relief Sverige,Islamic Relief Sverige,59532,346
145401631365,SSAB,Esatto,59259,60
685746988175151,Kry,These ads ran without a disclaimer,58558,4
195594843916366,Moderaterna i Norrbotten,Moderaterna Norrbotten,58362,67
209271425846739,Open Doors Sverige,Open Doors Sverige,58010,28
393959767360779,Sverigedemokraterna Region Skåne,Sverigedemokraterna Region Skåne,57983,30
286987014656068,Socialdemokraterna Solna,Frank Engström,57670,101
154313704727539,Rättighetscentrum Norrbotten - mot diskriminering,AGREN ERIK JAN-OLOV MADELEINE,57453,59
251829904829983,David Lega,David Lega,57378,39
237952092910326,Diskrimineringsombudsmannen,Diskrimineringsombudsmannen,57099,26
239855722130,Nyhetsmagasinet Fokus,Fokus,56972,107
162551727139730,PRO Pensionärernas Riksorganisation,Anton Emanuelsson,56928,35
120745044633792,Lunds universitet,Lunds universitet,56415,62
105353814867299,Grytorochkastruller,Svenska Brasserier,56333,25
334691179891,Swedavia,Swedavia,56063,11
336384546384299,Sverigedemokraterna Värmlands län,Grahn Mats Andreas Johnny,56008,23
140038609395696,Lif,LIF - de forskande läkemedelsföretagen,55316,82
181174968704638,Kompis Sverige,Kompis Sverige,55309,20
160736919403,Företagarförbundet,Företagarförbundet Fria Företagare,55118,93
112338252157105,Viskadalen,Viskadalen,54840,140
123337624363698,Volvo Car Sverige,Volvo Car Sverige,54769,37
347852331958080,En Företagares Vardag,En Företagares Vardag,54750,68
166237054048166,MyPick,These ads ran without a disclaimer,54397,1
20393019390,mymuesli,These ads ran without a disclaimer,54092,5
217391588404948,Katalys,Katalys,53848,86
95735961890,Greenpeace Sverige,These ads ran without a disclaimer,53177,145
187406391635,Casino Cosmopol,Casino Cosmopol,53121,10
443813509046190,Moderaterna i Järfälla,Moderaterna i Järfälla,53111,100
361300916858,Vy Bus4You,Anna-Karin Mooren,53051,8
259503044175168,Barnvagnsmarschen,RFSU,52963,154
1451330355093804,Myndigheten för delaktighet,Myndigheten för delaktighet,52252,462
433789686633749,Fastighetsägarna Stockholm,Fastighetsägarna Stockholm,52221,66
840264879353861,Ellevio,Jonatan Björck,52000,48
328754490337,Vårdförbundet,Vårdförbundet,52000,80
267558189923974,Estrella,Estrella,51534,4
835842266433861,Miljöpartiet Västra Götaland,Miljöpartiet Västra Götaland,51344,179
183959274989548,Landsbygdsnätverket,Landsbygdsnätverket,51331,177
185230521507744,Kommunalarbetaren,Kommunalarbetaren,50515,16
106548512712870,Klarna,These ads ran without a disclaimer,50506,7
114526821939129,Arla,Arla,50483,1
466531623734110,Unga Reportrar,Håll Sverige Rent,50364,4
137775207329,1177 Vårdguiden Stockholms län,1177 Vårdguiden Stockholms län,49825,15
115148865168902,Moderaterna i Gävleborg,Moderaterna Gävleborg,49756,238
226177864103720,Ungdomsfullmäktige Göteborgs Stad,Ungdomsfullmäktige Göteborg,49468,30
411824305172,Säffle kommun,Säffle kommun,49216,75
254125931364372,Sveriges Allmännytta,Sveriges Allmännytta,49087,62
313671265509,Tankesmedjan Tiden,Tankesmedjan Tiden,48910,67
355819811185620,Arba Kokalari,Moderaterna,48809,70
899603916845362,JAG Personlig assistans,JAG Personlig assistans,47936,41
100642360004457,Unga Feminister,Unga Feminister,47864,32
306226252825576,Centerpartiet Kalmar län,Centerpartiet Kalmar län,47852,66
179931025357058,Kommunal,These ads ran without a disclaimer,47645,4
183174951720116,Skogaholm,Esatto,47500,7
301055809910083,Luleå Energi,Luleå Energi,47448,40
102414309949126,Socialdemokraterna i Skåne,Socialdemokraterna i Skåne,47427,61
1126288010821198,Stockholms stad,Stockholms stad,47385,21
250421669832,Tekniska verken,Tekniska verken,47315,34
79587079066,Ljus i Öster,Erik Thunberg,47005,44
125440780804852,Childhood,Childhood,46730,41
95044806149,Democrats Abroad Sweden,Democrats Abroad,46184,81
340169928419,Hotell- och restaurangfacket,Hotell- och restaurangfacket,46168,5
169872296400480,gop,Glasfiber & Plastprodukter AB,45995,35
166819093366519,UN Women Sverige,UN Women Sverige,45823,36
537053146327418,Readly,These ads ran without a disclaimer,45530,7
1737852076287450,Valmyndigheten,These ads ran without a disclaimer,45429,2
190125911027266,Akademikernas a-kassa,Akademikernas a-kassa,45365,12
123739584343055,Social Media Rekrytering,Social Media Rekrytering,45320,9
124443770929754,Miljöpartiet de gröna i Botkyrka,Miljöpartiet de Gröna i Botkyrka,45284,36
251829904829983,David Lega,Kristdemokraterna,45087,17
329938067056917,Socialdemokraterna Halland,Socialdemokraterna,45055,32
961637003879778,Anna König Jerlmyr,Moderaterna i Stockholms stad,44791,78
1359442884155278,Järvaveckan,Stiftelsen The Global Village,44483,154
972455966286401,Torgny Jönsson,Jonsson Bjorn Torgny,44386,111
390479295816,Socialdemokraterna i Jönköpings län,Socialdemokraterna i Jönköpings län,44151,53
305733156201821,Vänsterpartiet Storstockholm,Vänsterpartiet Storstockholm,43797,53
508303959269502,Svenska Kyl & Värmepumpföreningen,Svenska Kyl & Värmepumpföreningen,43711,506
237146235237,Timbro,Timbro,43538,105
188083881300722,Adacta Advokatbyrå,Adacta Advokatbyrå AB,43445,8
143140665862271,Moderaterna Umeå,Moderata kretsen Umeå,43221,69
403347429763161,Sverigedemokraterna Helsingborg,Andersson Lars Pontus,43200,26
1593469480949678,Skol och Landsbygdspartiet,Nordin Bjoern Karl Anders,43050,45
368972829945550,AP7 Statens premiepensionsfonder,Maria Schultz,42891,50
361313524734299,Alivia,These ads ran without a disclaimer,42836,19
643137272398136,Sverige för UNHCR,These ads ran without a disclaimer,42325,40
746491858766619,Region Jönköpings län,Region Jönköpings län,42297,16
222878274426091,Sverigedemokraterna Skåne,Sverigedemokraterna Skåne,42130,17
1558123334435806,War Child Sweden,War Child,42118,46
109098320518639,Dogoodel.,DoGood EL,42016,32
111005714391,Scouterna,Scouterna,41721,94
125809117477618,Recycla.se,These ads ran without a disclaimer,41642,1
237287320360804,Omtanke.today,Jenny Fors,41618,192
240966039259839,Slush,These ads ran without a disclaimer,41478,210
2034901333190011,Ricky Karlsson KD,Karlsson Pierre Ricky Willhem,41041,267
112644953916525,Facklig Vänster,Vänsterpartiet,40744,150
769689373178831,Sjukvårdspartiet Västernorrland,Sjukvårdspartiet Västernorrland,40540,75
108476980690724,VOTO,These ads ran without a disclaimer,40253,6
344490105376,Årstiderna,Årstiderna,40187,55
112338252157105,Viskadalen,Carin Elisabeth Carlström,40128,46
1440827192814915,Vårdföretagarna,Vårdföretagarna,40040,41
143375352357454,En bok för alla,En bok för alla AB,40000,24
