Page ID,Page Name,Disclaimer,Amount Spent (PLN),Number of Ads in Library
425695274282222,Krzysztof Truskolaski - Poseł na Sejm RP,These ads ran without a disclaimer,≤100,2
256553858231360,Małgorzata Tadeusz-Ciesielczyk Ekspert Wystąpień Publicznych,These ads ran without a disclaimer,≤100,3
262340410484242,Uzdrowisko Kopalnia Soli "Wieliczka",These ads ran without a disclaimer,≤100,4
822347407799231,Klub Vid Bil / Pizzeria,These ads ran without a disclaimer,≤100,3
1045190652338409,Polska w lesie,These ads ran without a disclaimer,≤100,2
105390224338394,Oxygen - Miejski Filtr Powietrza,These ads ran without a disclaimer,≤100,3
176187429090013,Madame Q,These ads ran without a disclaimer,≤100,1
2407839499538087,ExtraFakty.pl,These ads ran without a disclaimer,≤100,1
470518276482949,Obywatele RP,These ads ran without a disclaimer,≤100,1
101308370517341,Kura Warzyw - Gemüse Kebap Poznań,These ads ran without a disclaimer,≤100,1
494402681299064,Polska Świnia,These ads ran without a disclaimer,≤100,1
825305624475174,Hawaiiyak,These ads ran without a disclaimer,≤100,1
697882137038431,Syngenta Polska,These ads ran without a disclaimer,≤100,2
101575093626279,moi-mili.pl,These ads ran without a disclaimer,≤100,1
100115878441020,Powiat myślenicki wspiera Rafała Trzaskowskiego,Łukasz Maciej Płatek,≤100,1
196497913833190,Czarna Kaczka - The Black Duck,These ads ran without a disclaimer,≤100,3
206283434037,Nalanda - Księgarnia Kawiarnia Vegedajnia,These ads ran without a disclaimer,≤100,2
579835365464076,Elżbieta Rafalska,Paweł Filip Ludniewski,≤100,2
102930834476133,adka_tere,These ads ran without a disclaimer,≤100,2
105241607595051,soporowska_weddings,These ads ran without a disclaimer,≤100,7
562353503930677,AndroidRookies,These ads ran without a disclaimer,≤100,4
109073400793952,Cosa nostra,These ads ran without a disclaimer,≤100,1
257630271556199,Katarzyna Drewniak - Radna Osiedla Nowe Miasto,These ads ran without a disclaimer,≤100,6
227555114762803,Szymon Chojnowski,These ads ran without a disclaimer,≤100,4
173739676035087,Magdalena Kochan - Senator RP,These ads ran without a disclaimer,≤100,3
110855385705492,Wegetari-anka,Anna Dorota Serwatko,≤100,5
111356056924109,Lash&Brow Studio Natalia Kardyś - Instruktor 4Lashes,These ads ran without a disclaimer,≤100,2
599444633584675,Małgorzata Moskwa-Wodnicka,These ads ran without a disclaimer,≤100,2
100611005014742,ola.piwowar,These ads ran without a disclaimer,≤100,2
917954711730422,"Cześć, Europo",Zuzanna Wojtkowska,≤100,1
413476615759358,KR Sport producent rękawic bramkarskich,These ads ran without a disclaimer,≤100,2
341361012648909,Punkt Informacji Europejskiej Europe Direct - Kielce,Komisja Europejska Przedstawicielstwo w Polsce,≤100,2
155303804547663,Pizzeria Babilon,These ads ran without a disclaimer,≤100,1
105265684198668,RDNR Ogrodzieniec,Sebastian Tadeusz Markiewicz,≤100,1
112121220409686,Zajazd Szałas,These ads ran without a disclaimer,≤100,2
1450660748584810,Aleksander Alfons Maksymilian Peszka,Aleksander Alfons Peszka,≤100,2
334270084006881,Dystrykt.13 Kamil Stepnowski - Radny Gminy Lelis,These ads ran without a disclaimer,≤100,1
1850608368502741,Paramount Channel,These ads ran without a disclaimer,≤100,1
481991541959295,Dominika Wrona Fotografia,These ads ran without a disclaimer,≤100,1
260228844485028,"Dom bez Kosztów - Folie grzewcze, Fotowoltaika, Rekuperacja",These ads ran without a disclaimer,≤100,2
600220107034333,ZONA resto&bar,These ads ran without a disclaimer,≤100,1
394948423950497,Kancelaria Prawna Gramatowscy,These ads ran without a disclaimer,≤100,1
107764004495949,Katarzyna Górska-Manczenko,Katarzyna Górska-Manczenko,≤100,2
106436010736718,Julian Mordarski,Julian Mordarski,≤100,7
2313311988987946,Biegniepodleglosci.krakow,These ads ran without a disclaimer,≤100,1
218779778208613,Nissan Auto Łódź,These ads ran without a disclaimer,≤100,2
144198155654046,Construction Europe,These ads ran without a disclaimer,≤100,1
511089022394168,Andrzej Duda Memes,These ads ran without a disclaimer,≤100,2
1875181569451915,Dawid Durał Radny Miasta Katowice,Dawid Marek Durał,≤100,3
465985166921956,The Alchemist - Grill & Cocktail,These ads ran without a disclaimer,≤100,5
112981567080452,Ekipa Szymona - Ostrowiec Sw,These ads ran without a disclaimer,≤100,2
241600012882309,Warexpo,These ads ran without a disclaimer,≤100,1
108494929216934,Marcin Kierwiński,These ads ran without a disclaimer,≤100,6
183669232379916,Traveliada.pl Wycieczkisamolotem.pl,These ads ran without a disclaimer,≤100,2
361240234045579,Wolters Kluwer Polska,These ads ran without a disclaimer,≤100,8
1299299013553527,Lista nr 1. Konfederacja - Korwin Braun Liroy Narodowcy,These ads ran without a disclaimer,≤100,2
931748533619680,Regionalny Ośrodek Debaty Międzynarodowej Białystok,These ads ran without a disclaimer,≤100,1
116327526724671,its_polina_here,These ads ran without a disclaimer,≤100,2
547150582095369,Kusi na Kulturę,These ads ran without a disclaimer,≤100,2
100108411852709,Daniel Król - radny RM Ustka,Daniel Król,≤100,6
1646880188943888,Krakowski Rynek Nieruchomości,KRN media Sp. z o.o.,≤100,3
1495224507399671,Łukasz Kropski - Radny - Gmina Siechnice,Łukasz Kropski,≤100,3
1556873704634276,Diem25,These ads ran without a disclaimer,≤100,3
951906801819336,Andrzej Świąder - Radny Gminy Kobylanka,Andrzej Świąder,≤100,2
1353999811352249,Zmieniamy Podlaskie,These ads ran without a disclaimer,≤100,4
151366464957304,Bartosz Sudak Photography,These ads ran without a disclaimer,≤100,3
1775105489415756,Bartłomiej Orzeł,Mateusz Jakub Książkiewicz,≤100,1
1697511753882638,Pracownia Badań Wyborczych Uniwersytetu Szczecińskiego,Łukasz Marcin Tomczak,≤100,2
102472268473202,Wojciech Muża zwykły mieszkaniec Gminy,Wojciech Romuald Muża,≤100,2
1862018227346936,baṣnia,These ads ran without a disclaimer,≤100,1
110843317109328,Edumeo - Szkolenia dla przedsiębiorców,These ads ran without a disclaimer,≤100,2
102561658300340,Lufcik Prymasa,Daniel Tonchev,≤100,4
618207168223440,Wynajmistrz,These ads ran without a disclaimer,≤100,4
197272847700522,Światowy Ruch Katolików na rzecz Środowiska,These ads ran without a disclaimer,≤100,1
128510203852229,edumarathon.pl - Dotacje UE - Finansowanie Biznesu,Ireneusz Marek Stadler,≤100,1
116342426407702,Izabela Małgorzata Nosiadek,These ads ran without a disclaimer,≤100,3
745359335642868,Stowarzyszenie Wolnej Herbaty,These ads ran without a disclaimer,≤100,1
101592058125967,EuroLed,These ads ran without a disclaimer,≤100,1
327552274757996,Nocne Loty,Nocne Loty,≤100,2
118861428864975,"Endokrynolog, diabetolog, internista - Dr n. med.  Marek Derkacz",These ads ran without a disclaimer,≤100,3
189260951861099,Kancelaria Nieruchomości,Mirek Rybak,≤100,2
1513834725501044,Monika Beata Roman        radna Powiatu Łańcuckiego,These ads ran without a disclaimer,≤100,4
354092055162342,Cyfrowy dialog,These ads ran without a disclaimer,≤100,1
208619589270223,Nextory,These ads ran without a disclaimer,≤100,1
335787696760056,WINK Bottle,These ads ran without a disclaimer,≤100,5
100406041975759,Filip Skowron,Filip Skowron,≤100,3
2137250233269755,Anita Skapczyk - Radna Miasta Tychy,These ads ran without a disclaimer,≤100,4
118025288305012,Krytyka Polityczna - ŚWIETLICA W TRÓJMIEŚCIE,These ads ran without a disclaimer,≤100,1
101561176857362,Demokratyczna Unia Regionalistów Śląskich,These ads ran without a disclaimer,≤100,1
1552946298317449,Hurtownia Pościeli Stanpol,Konto CS,≤100,1
182536755686410,Jan Marek Borowski,Jan Borowski,≤100,3
108471354236471,Sun Harvest,These ads ran without a disclaimer,≤100,1
418275728632268,Lashes by Karo,These ads ran without a disclaimer,≤100,5
1389403614657474,Wizjoner- Jarosław Krężel,These ads ran without a disclaimer,≤100,2
128850313987673,Derma Polska,These ads ran without a disclaimer,≤100,6
101015658000201,Marcin Staniewski,Marcin Staniewski,≤100,1
1914501645469702,Otwarta Przestrzeń - centrum terapii,These ads ran without a disclaimer,≤100,1
505043362858973,"KAScomp - Systemy fiskalne, Terminale płatnicze, Programy dla firm",These ads ran without a disclaimer,≤100,2
257439131778821,Łukasz Podlewski - radomski radny,These ads ran without a disclaimer,≤100,1
104812791342795,"Bobby, Clarence Morris Corp",These ads ran without a disclaimer,≤100,1
107846004160356,Platforma Logistyczna,These ads ran without a disclaimer,≤100,2
101443851683314,ziegertjanet,These ads ran without a disclaimer,≤100,5
744879285584695,Centrum Dialogu Obywatelskiego,These ads ran without a disclaimer,≤100,2
621959344553367,DNA Rynków,These ads ran without a disclaimer,≤100,6
103381834459898,Organizacja Tworząca Uniwersytet Aktywny - OTUA,Jarosław Macierowski,≤100,5
106314391144259,Express Scripts Inc.,These ads ran without a disclaimer,≤100,1
357490314952923,Piotr Malich,These ads ran without a disclaimer,≤100,2
1209845909164609,The Climate Lab,These ads ran without a disclaimer,≤100,1
380918355421728,Alexandra Kleeberg,These ads ran without a disclaimer,≤100,3
474027066482931,Wygrajmy Wybory dla Demokracji,These ads ran without a disclaimer,≤100,1
539476456411553,Novy,Kamil Antkiewicz,≤100,2
1495622337428160,Lasy dla Krakowa,Jakub Marcin Łoginow,≤100,1
339819999798223,Fundacja Dominikana w Polsce,Herikc Agesta Smith,≤100,1
512145938851639,"Łukasz Krasoń - mówca, ojciec, przedsiębiorca, społecznik",These ads ran without a disclaimer,≤100,1
114309145251327,RTI,These ads ran without a disclaimer,≤100,2
113482773346366,Piotr Adamowicz,Julia Adamowicz,≤100,3
615637185312942,Robert Bagiński,These ads ran without a disclaimer,≤100,2
1450483045214253,Bits & Pretzels,These ads ran without a disclaimer,≤100,3
434217760420716,Michał Zasucha,These ads ran without a disclaimer,≤100,1
1115811261764336,Noi Parrucchieri by Miki Aurilia,These ads ran without a disclaimer,≤100,1
357301651333821,Expressis Verbis,These ads ran without a disclaimer,≤100,6
927172754005212,Masz Wpływ,These ads ran without a disclaimer,≤100,1
1401481330159550,Mogilany.info,Piotr Jan Szefer,≤100,2
195982760601391,Fokusfashion.com,These ads ran without a disclaimer,≤100,2
106792537731306,Z polityką na Ty,Karol Gąsienica,≤100,3
265057147517153,Mimoza Gdynia Cafe,These ads ran without a disclaimer,≤100,1
512374155442078,DRH Lindersvold,These ads ran without a disclaimer,≤100,1
109362487637786,World News,These ads ran without a disclaimer,≤100,1
375431119170590,GRAPE - Group for Research in APplied Economics,FAME|GRAPE,≤100,4
287198384770456,Grzegorz Matusiak - Poseł na Sejm RP,Łukasz Adam Ziaja,≤100,3
343588636466813,Makłowicz Poleca,These ads ran without a disclaimer,≤100,1
1985336855058770,DemmelTattoo,These ads ran without a disclaimer,≤100,4
101855974972636,LID Foundation Inc,These ads ran without a disclaimer,≤100,1
110608187319897,Partia Zieloni - Wielkopolska Południowa,These ads ran without a disclaimer,≤100,2
105227410945863,Fundacja Edukacji Obywatelskiej,Robert Artur Grygorowicz,≤100,1
102863161547920,"Louis, Jesus Ciccone Inc",These ads ran without a disclaimer,≤100,1
556195354800902,Maria Pałkowska-Rybicka kandydat na Wójta Gminy Mikołajki Pomorskie,These ads ran without a disclaimer,≤100,1
1973696352895627,HIMA Smart Safety,These ads ran without a disclaimer,≤100,4
110504533853887,PAVLO Press,These ads ran without a disclaimer,≤100,1
126277652382549,Młoda Unia,Młoda Unia,≤100,4
105476961210966,Konfederacja Krosno Odrzańskie,These ads ran without a disclaimer,≤100,2
1980851645538708,Jakub Kruczek,These ads ran without a disclaimer,≤100,2
0,Instagram User 7927461619,These ads ran without a disclaimer,≤100,2
433643453377193,Grzegorz Ganowicz,Grzegorz Ganowicz,≤100,1
617258911706589,Grzegorz Maćkowiak - Samorządowiec,These ads ran without a disclaimer,≤100,8
100911824976237,Adam Tobiasz Radny Rady Miejskiej w Świebodzicach,Adam Tobiasz,≤100,3
153098244704447,Jan Olbrycht,These ads ran without a disclaimer,≤100,1
965111190172815,Arkadiusz Chwaścik,These ads ran without a disclaimer,≤100,3
732408826806953,ECO Clinic Agnieszka Sokołowska,These ads ran without a disclaimer,≤100,1
230634803743001,Małopolska Fundusze Europejskie,These ads ran without a disclaimer,≤100,6
1601502983499702,Kornel Morawiecki - Wolni i Solidarni - oddział Mazowsze i nie tylko,These ads ran without a disclaimer,≤100,1
2177723575779048,Rafał Kandziora dla Śląska,These ads ran without a disclaimer,≤100,3
341061269885820,Ubezpieczenia dla Fizjoterapeutów,These ads ran without a disclaimer,≤100,2
992640654249666,Krzysztof Kukucki,These ads ran without a disclaimer,≤100,3
1606442416327570,Lobomarket Zwoleń,These ads ran without a disclaimer,≤100,1
556341741567556,Konfederacja Lipno,These ads ran without a disclaimer,≤100,1
104364254431619,Patryk Bianga  - Radny Powiatu Lęborskiego,Patryk Bianga,≤100,1
418471754871909,Trener Personalny - Paweł Makarewicz,These ads ran without a disclaimer,≤100,3
455406588533154,Subtelnie,These ads ran without a disclaimer,≤100,3
1403616766549489,SIME GREEN HOUSE,These ads ran without a disclaimer,≤100,4
1224419624236113,New Data Labs,These ads ran without a disclaimer,≤100,5
103169524867586,Polska Bezstronnym Okiem,Radek Karbowski,≤100,3
1768647363461612,Zespół wokalno-aktorski "Sonanto",These ads ran without a disclaimer,≤100,1
106758224118411,Gliwicka Polityka,These ads ran without a disclaimer,≤100,2
570988933411338,Sławomir Gadek,FROGriot,≤100,3
105689887736136,IHELPYOU.app,These ads ran without a disclaimer,≤100,2
547224055365918,MT Sports Poland,These ads ran without a disclaimer,≤100,1
112166643971573,Stream Space,These ads ran without a disclaimer,≤100,4
138798770144793,Krajowy Instytut Kontroli Biznesowej,These ads ran without a disclaimer,≤100,4
271399596270991,Elżbieta Łukacijewska,These ads ran without a disclaimer,≤100,1
583343368736353,Brokerty - strefa nieruchomości,These ads ran without a disclaimer,≤100,2
1324808197544631,ubezpieczeniemedyczne.eu,These ads ran without a disclaimer,≤100,1
145297562226715,ZauchaFestiwal.pl,These ads ran without a disclaimer,≤100,1
161714423857179,SKKP Stowarzyszenie Konferencje i Kongresy w Polsce,These ads ran without a disclaimer,≤100,2
478544509337606,Marcin Bełbot,These ads ran without a disclaimer,≤100,3
369717080275305,Rozmowy Po Chełmsku,These ads ran without a disclaimer,≤100,1
1556678147981839,"Kabaret, Teatr, Rozrywka",These ads ran without a disclaimer,≤100,1
113488270473234,Monika Augustyniak doradca ubezpieczeniowy,Monika Augustyniak,≤100,2
108721579182927,Nzoz Lubomed w Lubomierzu,Dariusz Zbigniew Dąbrowski,≤100,3
113206146886712,Podbielski Group Sp. z o o,These ads ran without a disclaimer,≤100,1
300387264095787,Spa&More,These ads ran without a disclaimer,≤100,1
409887562855545,Jakub Łoginow PL-SK,These ads ran without a disclaimer,≤100,1
115523949840248,Polska Lewica,Patrycjusz Kazimierz Pasik,≤100,4
116228019753518,Hymon Photovoltaics,Adam Jan Fronczak,≤100,3
1759693820805967,Ministerstwo Śledzia i Wódki - Wrocław Rzeźnicza,These ads ran without a disclaimer,≤100,2
258394024199313,Centrum Polsko-Rosyjskiego Dialogu i Porozumienia,These ads ran without a disclaimer,≤100,3
351140212771,Radomsko naszemiasto.pl,These ads ran without a disclaimer,≤100,1
363246247479672,Porozumienie - okręg nr 37,Jakub Eltman,≤100,2
265120660840659,Dawid Świstek,Dawid Świstek,≤100,1
1722614618002652,4Line Catering Dietetyczny,These ads ran without a disclaimer,≤100,1
274443559816483,Łukasz Merchut,These ads ran without a disclaimer,≤100,4
498485190283530,Muzeum Polskiej Wódki  - Polish Vodka Museum,These ads ran without a disclaimer,≤100,1
372148109883891,Fundacja Dwa Kilogramy Szczęścia,Joanna Edyta Duda,≤100,2
627373761034043,Karibee Western Australia,These ads ran without a disclaimer,≤100,1
1696008200721027,Sangaz Włocławek,These ads ran without a disclaimer,≤100,1
167575403262853,Poszukiwawcze Ochotnicze Pogotowie Ratunkowe,These ads ran without a disclaimer,≤100,2
1573187432927044,Punkt Informacji Europejskiej Europe Direct - Kołobrzeg,Komisja Europejska Przedstawicielstwo w Polsce,≤100,2
770739093094909,A l i n a L e b e d,These ads ran without a disclaimer,≤100,2
105364614294706,Piotr Błaszyk - Grupa Morska Cała Naprzód,Piotr Błaszyk,≤100,1
142854076326807,Monkey Hide Tattoo,These ads ran without a disclaimer,≤100,3
224732734889159,Nasza Zielona Przyszłość,These ads ran without a disclaimer,≤100,1
1667291133396466,EQUITANDUM,These ads ran without a disclaimer,≤100,4
560145227400055,Marcin Musiał - śląski blog literacko-polityczny "Tylko Burak Nie Czyta",These ads ran without a disclaimer,≤100,1
116880953031537,Antoni Pikul,These ads ran without a disclaimer,≤100,1
102678651080929,Racjonalne Skierniewice,These ads ran without a disclaimer,≤100,2
2207883932807218,Wolni od długu,These ads ran without a disclaimer,≤100,7
138756009091,Big Cyc,These ads ran without a disclaimer,≤100,1
564941230235866,Beata Mazurek,These ads ran without a disclaimer,≤100,2
364346461062543,��fighting anorexia��,These ads ran without a disclaimer,≤100,2
121822987894367,Młodzieżowa Rada Miasta Bydgoszczy,Mikołaj Gabinecki,≤100,8
102868151631749,Ogólnopolski Strajk Kobiеt,These ads ran without a disclaimer,≤100,2
104137444497325,Pomoc Dla Opiekunów,These ads ran without a disclaimer,≤100,1
531643577185713,Inter Parts,WarszawaInvest,≤100,3
361620427813301,Elżbieta Długołęcka,Anna Beata Grabowska,≤100,1
114264676975671,Sara Chrząszcz Doradca Ubezpieczeniowy,These ads ran without a disclaimer,≤100,3
272131373429044,Measom Freer & Company Ltd.,These ads ran without a disclaimer,≤100,1
114797486601927,Klaster Wodorowy,Regionalna Izba Gospodarcza Pomorza,≤100,3
487999078296664,Grzegorz Zieliński - Radny Rady Miejskiej w Lubinie,These ads ran without a disclaimer,≤100,2
108811353007260,FestivALT,These ads ran without a disclaimer,≤100,1
103820574342244,Radzionkowski Alarm Smogowy,Przedsiębiorstwo Energetyki Cieplnej Sp. z o.o.,≤100,3
1520020141383860,Mariusz Janas Przewodniczący Rady Miejskiej w Bytomiu,Mariusz Janas,≤100,2
381158746058382,Religionskillful,These ads ran without a disclaimer,≤100,1
716444375116485,Grzegorz Sobol - Radny Dzielnicy I Stare Miasto,These ads ran without a disclaimer,≤100,5
217678996336829,UBA Żaneta,These ads ran without a disclaimer,≤100,1
107500687354839,mateusz_kwiecien_pl_,These ads ran without a disclaimer,≤100,1
145551655474340,Łukacijewska - strzał w "10",These ads ran without a disclaimer,≤100,2
186925007995339,Centrum Inicjatyw Międzynarodowych,These ads ran without a disclaimer,≤100,1
111521860195683,LGBT Poland,These ads ran without a disclaimer,≤100,3
796729027037754,Tomasz Klonowski,Tomasz Klonowski,≤100,2
198354406858187,Nasz Grunwald,These ads ran without a disclaimer,≤100,5
658759627872670,PiS Kujawsko-Pomorskie,These ads ran without a disclaimer,≤100,3
105163594224676,Andrzej Guzik,These ads ran without a disclaimer,≤100,4
153949584760061,Liga Obrony Suwerenności,These ads ran without a disclaimer,≤100,3
468994913276873,Nowoczesna Powiat Legionowski,Ola Bednarek,≤100,4
103921782727,Atlas Obscura,These ads ran without a disclaimer,≤100,2
860539140624971,Wojciech Dorżynkiewicz - Radny Województwa Zachodniopomorskiego,These ads ran without a disclaimer,≤100,2
117411286308995,Staniszewska Finanse,These ads ran without a disclaimer,≤100,1
102634248135638,Super Roman,These ads ran without a disclaimer,≤100,10
112956153580313,Three Seas Summit and Business Forum,These ads ran without a disclaimer,≤100,2
108122417771645,MominŁódź,Marta Patrycja Skrobisz,≤100,2
104569571363029,Beauty Of India,These ads ran without a disclaimer,≤100,1
242532093099273,Izabela Piasecka - Kandydatka Na Radną,These ads ran without a disclaimer,≤100,1
124178514267513,Hokej.Net,These ads ran without a disclaimer,≤100,2
245332838983203,Lucjusz Nadbereżny,These ads ran without a disclaimer,≤100,1
317463093373,The Akshaya Patra Foundation,These ads ran without a disclaimer,≤100,3
127034117991,o2,These ads ran without a disclaimer,≤100,1
127192639434,PrimaLoft,These ads ran without a disclaimer,≤100,1
407869383365737,Polityka na Ostro,These ads ran without a disclaimer,≤100,3
1591631200940511,Finanse po mojemu - Jakub Hawro,These ads ran without a disclaimer,≤100,2
576530569538182,Lewandowski musi odejść,These ads ran without a disclaimer,≤100,1
2123707767717179,Ruch Narodowy Gniezno,Jakub Michał Rakowski,≤100,1
179080292652702,Asher & Lyric,These ads ran without a disclaimer,≤100,1
1217221281785808,Maciej Knuth,These ads ran without a disclaimer,≤100,1
784009015121501,Kendy Polestin,These ads ran without a disclaimer,≤100,4
1629990253744016,Brut UK,These ads ran without a disclaimer,≤100,15
234611260329666,Andrzej Pichet - Radny Województwa Wielkopolskiego,Andrzej Pichet,≤100,2
287032381339632,Fundacja IT Leader Club Polska,These ads ran without a disclaimer,≤100,1
103301651573168,Right on Rights,These ads ran without a disclaimer,≤100,1
1543308945916649,Jarosław Perzyński Burmistrz Miasta Sierpca,These ads ran without a disclaimer,≤100,1
131662333595361,Zofia Czernow,KKW Koalicja Obywatelska PO .N IPL Zieloni,≤100,2
102768071654657,Artur Eichhorst,Artur Eichhorst,≤100,3
0,Instagram User 797068593,These ads ran without a disclaimer,≤100,8
105487254177426,Piotr Panasiuk Konfederacja,These ads ran without a disclaimer,≤100,1
103189994608689,20stopnidlaklimatu.pl,These ads ran without a disclaimer,≤100,1
100456765118378,"Cordelia, Jacob Guidotti LLC",These ads ran without a disclaimer,≤100,1
403928806841723,No-Waste,These ads ran without a disclaimer,≤100,8
348984049019906,Marsz Równości w Koszalinie,Jacek Artur Wezgraj,≤100,2
107571480897403,Swatch Takes Me To New York,These ads ran without a disclaimer,≤100,1
414982382373346,Lauren Fields,These ads ran without a disclaimer,≤100,1
773544262693610,Paweł Kamil Krassowski,Paweł Kamil Krassowski,≤100,5
106712631115219,Operations,These ads ran without a disclaimer,≤100,1
448997978507784,Kościół Rzymsko-Katolicki,These ads ran without a disclaimer,≤100,2
1420129598280317,The Good Lobby,These ads ran without a disclaimer,≤100,9
2359264020959936,ABC "Na Rogu" Senatorska 46,These ads ran without a disclaimer,≤100,2
336037679896161,Zbigniew Urban,These ads ran without a disclaimer,≤100,2
435513210358459,Piotr Sikorski - Radny Rady Miejskiej w Wołominie,These ads ran without a disclaimer,≤100,10
113837386735508,Czyszczenie Katowice «CleaningDay»,These ads ran without a disclaimer,≤100,2
685051894911186,Wojciech Pająk - radny Suwałk,These ads ran without a disclaimer,≤100,2
663783530496642,Ryszard Łusiak - Radny Dzielnicy Orunia Górna - Gdańsk Południe,Ryszard Łusiak,≤100,1
500925419968010,Pomorskie Samorząd,These ads ran without a disclaimer,≤100,1
525120131194963,Klub Tygodnika Powszechnego w Bydgoszczy,These ads ran without a disclaimer,≤100,1
343878279831032,Festiwal Reportażu Sportowego "Patyk",These ads ran without a disclaimer,≤100,2
2092099944237238,Ruch Narodowy - Mława,These ads ran without a disclaimer,≤100,3
1467418970166506,Anna Fotyga - Biuro Poselskie,Anna Fotyga Poseł do Parlamentu Europejskiego,≤100,1
225279784898733,Rzęsy z Pazurem / Instruktor Diamond Lash Inass Amer,These ads ran without a disclaimer,≤100,1
167618329974038,Przemysław Pospieszyński,These ads ran without a disclaimer,≤100,1
146527928728141,Hotel Uzdrowiskowy St. George w Kudowie Zdroju,These ads ran without a disclaimer,≤100,1
109082817369296,superbabkapl,These ads ran without a disclaimer,≤100,1
505787423224273,Urszula Sara Zielińska,These ads ran without a disclaimer,≤100,1
288446751950849,Anna Morawiecka - Odwaga i troska,These ads ran without a disclaimer,≤100,1
103055634560238,Swiatwojen.pl,These ads ran without a disclaimer,≤100,1
1694313420880105,Aleksandrowo,Kamil Stepnowski,≤100,3
956201771070664,Skuteczni Piotra Liroya-Marca Podkarpacie,These ads ran without a disclaimer,≤100,2
2073213089626637,Komitet Obrony Raciborza,These ads ran without a disclaimer,≤100,2
856125644507537,Krystian Werecki,These ads ran without a disclaimer,≤100,1
342188160004446,Rudy znalazł dom,These ads ran without a disclaimer,≤100,2
102317201272382,Michał Stasiak,These ads ran without a disclaimer,≤100,2
357688854875100,Concept Energy,These ads ran without a disclaimer,≤100,1
0,Instagram User 7483543459,These ads ran without a disclaimer,≤100,2
230586000966665,Marcin Makowski,Marcin Makowski,≤100,1
2298832653663716,Ogólnopolska Federacja Młodych,Stanisław Kumor,≤100,1
338557136810420,The Pride EU,Kamil Krzysztof Kopała,≤100,3
538078072919407,Nauka o klimacie,Marcin Witold Popkiewicz,≤100,1
102624051276846,KidsFirst Club,These ads ran without a disclaimer,≤100,1
2108161819447952,TSG Polska,These ads ran without a disclaimer,≤100,1
140464499380868,Leszek Piechota,These ads ran without a disclaimer,≤100,2
290300868284859,Solidarni z WOŚP,These ads ran without a disclaimer,≤100,1
1448205235254295,Tony Robert Cochran,These ads ran without a disclaimer,≤100,1
101899864703768,Tech/nowości,These ads ran without a disclaimer,≤100,2
107470130821736,xbiernatkax,These ads ran without a disclaimer,≤100,2
1966479053610557,Skarby Miasta,These ads ran without a disclaimer,≤100,1
1120698384707032,Pola Dialogu,These ads ran without a disclaimer,≤100,1
851992364947841,Galeria Figur Stalowych Pałac Kultury i Nauki - GSF,These ads ran without a disclaimer,≤100,1
108272927964433,CV Docker,Weronika Agnieszka Kolarczyk,≤100,6
386553951416806,Kamil Błaszczuk,Kamil Piotr Błaszczuk,≤100,1
1465180570478399,Waldemar Utecht,These ads ran without a disclaimer,≤100,2
185154421677645,Gliwicki Klub Gazety Polskiej,Wojciech Nowakowski,≤100,2
1772025143077782,Anna Mrowińska - Radna Rady Miejskiej w Słupsku,These ads ran without a disclaimer,≤100,2
230799346985035,Tomasz Szymański,These ads ran without a disclaimer,≤100,1
269978793391772,Monika Sendecka Stylist,Monika Sendecka,≤100,7
403438309710839,Loty.pl Podróże i Ubezpieczenia,These ads ran without a disclaimer,≤100,1
134795839907890,Comarch Healthcare,These ads ran without a disclaimer,≤100,1
383460811678714,Zamek Książ w Wałbrzychu,These ads ran without a disclaimer,≤100,1
1271354012985801,Matush Art,These ads ran without a disclaimer,≤100,2
175432722519226,Photography by Agnieszka Wolska,These ads ran without a disclaimer,≤100,3
303244279688,Bemowskie Centrum Kultury,These ads ran without a disclaimer,≤100,1
594643827409456,Fundacja Opes139,Joanna Sadowska,≤100,1
116306928531810,Zbigniew Szczerba Radny Miasta Zakopane,Zbigniew Piotr Szczerba,≤100,2
760253547645174,Joanna Czochara Radna Sejmiku Woj. Opolskiego,These ads ran without a disclaimer,≤100,1
548887971872712,ELMO TAXI,These ads ran without a disclaimer,≤100,1
1834974346608707,Eliza Kurzela Wiceprzewodnicząca Rady Miasta Pruszkowa,These ads ran without a disclaimer,≤100,2
112089307262201,Pomoc Opiekunom - Justyna Nakonieczna,These ads ran without a disclaimer,≤100,1
488979738576411,Młodzieżowy Strajk Klimatyczny Nowy Sącz,Maksymilian Mieczysław Smoter,≤100,2
1307540832732357,Paweł Piechoczek,These ads ran without a disclaimer,≤100,1
103176587828963,WegeAnka - w kuchni z salonem,These ads ran without a disclaimer,≤100,1
173862842709105,Gościniec "Oycowa Zagroda",Lucyna Bigus,≤100,1
365807343599896,Maciej Kopeć,These ads ran without a disclaimer,≤100,2
415556419056004,KaWtan,These ads ran without a disclaimer,≤100,1
105467814667515,MyEnergy,These ads ran without a disclaimer,≤100,1
188293531302138,Dom Mody Głogówek,These ads ran without a disclaimer,≤100,3
886440011369044,Shivan Fate - Radny Powiatu Polickiego,Shivan Fate,≤100,2
176136722487454,Videoparlament.pl,These ads ran without a disclaimer,≤100,1
276165850641,Subiektywnie o finansach,These ads ran without a disclaimer,≤100,1
2015048955450921,Dalbergia Duo,These ads ran without a disclaimer,≤100,2
166193777294733,EOP24.net nasz lokalny serwis informacyjno ogłoszeniowy,Adam Piotr Olejniczak,≤100,2
